Number,Port Code,City,Airport Name,Country,Time Zone
73,KUL,Kuala Lumpur,Kuala Lumpur International Airport,MY,MYT
74,GLA,Glasgow,Glasgow Airport,GB,GMT
75,LHR,London,Heathrow Airport,GB,GMT
76,MAN,Manchester,Manchester Airport,GB,GMT
77,BHX,Birmingham,Birmingham Airport,GB,GMT
78,JNB,Johannesburg,O.R. Tambo International Airport,ZA,SAST
79,DUR,Durban,King Shaka International Airport,ZA,SAST
7N,QIV,,,,
81,TPE,Taipei,Taiwan Taoyuan International Airport,TW,CST
82,VCP,Campinas,Viracopos International Airport,BR,BRT
83,JKT,Jakarta,Soekarno-Hatta International Airport,ID,WIB
84,BKK,Bangkok,Suvarnabhumi Airport,TH,ICT
85,VIE,Vienna,Vienna International Airport,AT,CET
87,STO,Stockholm,Stockholm Arlanda Airport,SE,CET
88,GOT,Gothenburg,Gothenburg Landvetter Airport,SE,CET
89,HEL,Helsinki,Helsinki-Vantaa Airport,FI,EET
90,PER,Perth,Perth Airport,AU,AWST
91,HKG,Hong Kong,Hong Kong International Airport,HK,HKT
92,CPC,Dearborne,US Customs Central Processing Center,US,EST
93,TYO,Tokyo,Narita International Airport,JP,JST
94,OSA,Osaka,Kansai International Airport,JP,JST
95,SYD,Sydney,Sydney Airport,AU,AEDT
96,MEL,Melbourne,Melbourne Airport,AU,AEDT
97,AKL,Auckland,Auckland Airport,NZ,NZDT
98,BNE,Brisbane,Brisbane Airport,AU,AEST
